text,label
"Chavez is clear on what he wants from his students. Chavez is practical but talks fast in his lectures. If you do not put in the work and effort, you will not do well. He's knowledgeable, cares and respects education, and gives you the tools you need to do well in this course.",1
"This R course was difficult for me because I had never coded before but she was so supportive and gave me lots of support resources to learn so it was easier. R is very useful in the data analytics field and is a great tool to know so definitely recommend this class. If you struggle, reach out to her for help and she will gladly support you",1
"Had him for AT 102 and AT 338. AT 102 is just a boring class. I think his classes are really easy as long as you attend lectures and take notes. Tests are mostly straight out of the lectures. In AT 338, there may be a question or two out of the book. He is very approachable and easy to reach. Usually have online quizzes and sometimes online exams.",1
Heilferty is a really sweet professor who tries to get to know her students even in such a big class. The course is made up of a few easy textbook quizzes and a final group project which you just have to finish to do well on. The lectures can be a little boring but overall a really easy class.,1
"She's a nice professor. But I'm not going to pay over $500 dollars for a class to have other students ""teach"" me. She explains for 15 mins off a powerpoint and the rest of the class is group work. she does not go over the group work and only posts the answers on blackboard. plus gives a quiz every week. Calc is a hard subject.I had to drop it.",0
"Though this class is online, Dr. Kaya seems to be a very sweet & thoughtful prof. You don't need to do too much to earn an A, but some discussion Q's are quite time-consuming & generally require some research. As a STEM student, this class showed me how SOCY can be a really interesting subject, & I regret not taking it in a classroom setting. 5/5",1
Professor Beland's class was fairly easy. Most of the class time was him presenting the power point and explaining the content of each slides. Simply being there and taking notes was enough to pass.,1
The actual Goat. TAKE HER,1
Dr. Fortune is literally the greatest man. One class he showed up with a Kenough cup and that pretty much sums him up. The class is semi-difficult but he will work tirelessly to explain content in every way he can think of. Show up to class ready to work hard and have fun. PLEASE TAKE HIS CLASS!!!,1
"Took her for Arts & Humanities Gen Ed. We met only 1x weekly for a short time for discussion, but did all work asynchronously. There's a lot of reading, but as expected for this course. 4 essays in semester, plus small discussion responses and short quizzes. Speaks very clearly in recorded lectures! Understanding, caring, encourages discussion.",1
Good information learned from the class. Make sure you show up to class.,1
This guy is one of the best math teachers/professors I've ever had and one of the best professors at UNO. Take his class. His teaching style is enthusiastic and no bs. He deserves a raise and bonus!,1
"Philip was my business law prof. He was funny, nice, and an overall good prof. His classes were interesting and easily understandable. I would recommend his class to others.",1
Best professor I've had at Waterloo. I normally don't participate in lectures but I felt very good participating in this class. Always keeps you entertained with the math taking place. Cannot stress how good he is. If you have the option of taking any class with him TAKE IT.,1
"Good teach, very pleasant. You'll need your textbook and her notes to do well in this class. I noticed that what she talks about in class is important for the test. She makes you get in the textbook and she's a stickler for good writing, especially APA. I'd say Mrs. Pollard's is tough but fair.",1
Professor Fritz is highly qualified but has an inability to articulate ideas and lectures to the class. The tests are hardly based on readings and lectures. Most of the test's answers come from outside information which you don't know about. Documentaries did not tie into readings. She rambles on. AFTER she curved the class grade we all had a C-.,0
"Best professor and class I took that semester. He's pretty chill when giving the lectures and explaining the class. If you don't understand, he will explain again. He assigned movies and makes you write at least a paper of anything that caught your attention in the movie just to test how your writing is. He gives a couple of HWs and tests/exams.",1
"HNSC 2120, Introduction to Epidemiology (with Lab), Professor is really great we had no midterm, just BB, weekly quizzes and labs, participation counts, and a final. The quizzes are not hard at all all the answers are on the powerpoint she provides you with each week. The labs can be done as group work. She gives extra credit. ",1
"Awesome professor! He made the class enjoyable and assignments all had a point! Never felt like busywork, always learned something from it. Reasonable, helpful, and understanding with students. Fully recommended as a screenwriting professor.",1
"I am horrible at math. But, I am about to finish this class with an A and that's all because Kim is an excellent teacher! She will go over every homework and quiz question that we need help with until we understand. She answers messages outside of class, too. Don't buy the textbook, because we didn't use it. Very friendly woman, too!",1
She doesn't offer any outline for exams and expects you to be fluent in speaking and accent by the final. Expects the impossible and will not budge for any concerns. Does not listen to her students AT ALL,0
"even though the semester for spring 2024 isn't over, I couldn't wait to evaluate this professor. He is awful..wow! I know Hostos college needs professors..But try harder to bring in Good ones ... ",0
AMAZING. Karen is an absolute angel. She makes the clinical experience even better. I felt completely comfortable being in her class because she really cares about the patients and the students. She allows you to learn from any mistakes you made instead of making you feel stupid. I would take her for every clinical. Do yourself a favor & take her.,1
"No one likes College foundations, but despite that Mr. Thompson was a great instructor. Hilarious!",1
"The first time I took her class I think 30% of the class failed. We read letters from the last class saying ""DO NOT TAKE. AMOUNT OF WORK OF 3 CLASSES"" and she laughed. The amount of work is too much if you have any other classes + work. She's kind of unfriendly too which sucks. Part of why I changed my major was so I wouldn't have to take her again",0
same as the other bad ones,0
"I got bad grade in this class but mostly for not doing the Final Project on time or the checkpoints. The Final Project is easy, you just need to follow instructions well and put time into it. All it is is a Powerpoint comparing the cultures of two different countries. Do the study guides (no more than 15 questions) for the 3 Exams @testing center!",1
Take her she is truly one of the best professors at Collin. She truly loves what she teaches and will help with any questions. Just don't be lazy and put in the work. Truly take her she is super sweet. ,1
"I cannot stress this enough: the best professor I have ever had. Andrea is charming, knowledgable and kind. Whether it was in the classroom or online due to the pandemic, she demonstrated care for her students. She makes the material easy to understand and you can tell she's passionate. If given the chance, I will absolutely take her again!",1
"Professor Vanesha Nicholson is a nice professor, and she wants students to be successful both in her class and outside the class. If students follow her instructions, they will be fine. She encourages students to build their networking connections.",1
"Tough class but  that's the subject. Alot of hw and studying required but again, that's the class. Fair exams and quizzes. She is one of the best teachers in the math department, if she is offered for a class you need, take without second thoughts.",1
"I took her during the spring semester and still believe she is one of the best professors at del mar. Throughout the course, we were assigned six papers and short assignments. The class can be a tad overwhelming, but she will walk you through everything. She will respond to dumb questions and push you to write your best! ",1
"Clear explanations, accessible outside of class, answers the emails within a reasonable delay, cares about her students. She makes hard concepts seem easy! Open to criticism. Keeps the board clear and explanations to the point, she gives examples after every definition/theorem to make us understand better. Overall, loved her class!Thank You Ms. Ky!",1
I'm confused by the other ratings because this class wasn't even that hard. You have about 2 assignments a week. One due on Wednesday and the other on Saturday. The assignments are not even that hard. Just follow the rubric and instructions and you'll be good. He does not grade harshly. He puts out videos each week to go over the assignments.,1
Professor Adames is amazing. I was seriously struggling with calculus and almost failed the class but he gave me extra work that boosted me to a B. Would definitely take him again. And he is a student himself which is good because he puts himself in the students's shoes and is very understanding,1
Take any class with her. Reasonable for a GE which made it easier to learn and put in effort,1
Awful slides. Awful lecturing. Always shows up late. Has some of the most vague lecture slides available when the prerequisite course for this had some of the most clear slides for similar material. Her disorganization makes your experience as a student in her class much worse.,0
Open your eyes RCBC this Professor is the reason so many students are not successful in this program. Quite frankly it feels like she could give less than a rats behind about her students. The worst part is you CANNOT avoid her as a professor. Get ready to teach yourself everything and pray to sweet baby Jesus you pass.,0
"If you do what it is asked, you will do great in his class, easy A",1
He is new at City Tech. He was very caring and tried his best to help all students despite the extremely difficult class. He wants everyone to succeed and is very knowledgable and experienced about psychiatric nursing.,1
Donate was one of the worst professors I've had here at Davidson. She's very unhelpful throughout the entire course and not very easy to access outside of the classroom if you need help. Very unclear grading criteria and has really unhelpful feedback. Will put things on the test that you never learned in class then say it's our fault for not knowin,0
"Pretty easy going professor. Show up, complete homework assignments and exams, and youll pass. Mancu even will allow take home exams sometimes as well.",1
"Sweet professor, trying to push you going further. A lots of works but each one is really engaging for me. Definitely loving design for patterns although its my minor only.",1
I would take her class again if I have another chance. She is a very amazing professor! Do not miss the chance to get an A. You will not be disappointed if you choose her class. You will learn a lot from her. You will see a very clear lesson from her. And you can get an A EASILY. A very responsible and caring professor!!! The best ever!!!!,1
"One of the best professors I have ever had, she motivated me to crack my coop interviews.",1
"Dr. Chatterjee is one of my favorite professors at Brookline so far. He is very clear about the assignments and what is to be expected on the quizzes and exams. He is always willing to help students who don't understand, yet he is never degrading about it like some teachers can be. He's pretty funny too. 10/10 would recommend.",1
He's pretty good he's a little odd but he's not a bad teacher. I took the evening section so I was stuck with him but can't complain much.,1
"Shaw is an amazing Professor. She will push you to keep improving and challenge you to step outside of your comfort zone. At first her class can be overwhelming, but if you like a good challenge, youll do great in her class.",1
"Dr. Morris is the best professor I have had, she is very passionate about Spanish and she cares a lot for her students. Every class is engaging and eventful and the course is not too difficult. The tests are only on grammar, not other content which is nice. Overall, she is a great person and professor. I highly recommend taking one of her classes.",1
One of the best lab instructors I've had. He makes class fun but also covers the material my lecture professor does not teach. I look forward to walking into my honors lab because of this professor! Be prepared to do a lot of work outside of the lab though. I highly recommend this professor if you want to learn something and actually enjoy class!,1
"Idk what these people mean that she's not respectful. She's very reasonable and respectful and I would go so far to say that she's caring. If you put in time and effort and show that you care about the class, she's an amazing, intelligent, professional professor and a kind person. ",1
"Just awful. He was very hard to understand, his TA graded things super harshly and he knew it but didnt do anything about it. The lab portion of this class was so difficult and made the whole course not manageable. He gave no instruction, gave no help, wasnt accessible and just wasnt understanding. Avoid at all costs. A good lab teacher is huge.",0
"Klavens was really straightforward and understanding, just reach out. He tells you why you got your answer wrong and how to fix it and responds to emails quickly. His explanations definitely helped me with lecture since he went step by step through problems. Weekly extra credit, classwork, quizzes, and HWs are pretty easy with a few small projects",1
This guy is amazing! And one of the best professors in my opinion.,1
"Impossible to understand him and doesn't engage the class in any way - you will learn nothing in this class and will be clueless all semester. You won't start getting grades until well after midterms, and the grading system is totally irrational. Would never take this class again.",0
"Very easy A. Very easy going professor, all exams were online. Has lots of knowledge on his area of study, and expects good research and content in projects, but is very kind in grading.",1
Kate is super nice and very accessible outside of class. Tests were difficult but fair. I definitely recommend taking multivariable calc from her.,1
Best online lab I have taken at UTA. If you put in the work you will get a good grade.,1
"I honestly wasn't the best student in this class; however, he was a great teacher and had great lecture that had slideshows posted online in case you missed class. He is very caring and charismatic which made going to class not feel like a drag. Taking a different class with him this semester, highly recommend.",1
"I loved his class, I learned so much and absolutely miss this class. He is so understanding and really loved teaching. ",1
"Consistent schedule: Tues. Quizzes, Thurs. Discussion Q's. Lectures with PowerPoints & will tell you on Thurs. what will be on Tues. Quiz. 2 Exams - study all quizzes. Gives study guide for listening portion. Presentation and 2 essays. GREAT teacher!!!!!!! He is very understanding. Wish I could take more of his classes.",1
"Easy class and the professor was awful, depending on how you look at it . He was constanlty on his phone and was rude incredibly rude if you try to disturb him. Sometimes out class would just stand there and wait for instruction while he was texting. If you dont care about that then you wont have problems, just show up and do the activity and leave",0
"Attendance is not mandatory, but if you miss a lecture itll be difficult. Graded on three tests and drops lowest If all taken not including the final. Study guides and very similar to tests. Really good professor but class is hard trys best to help you understand. Textbook is used but he will give you the pdf online. Pdf file sold at bookstore",1
"Absolutely loved her class. Even though it was a 7:25am class, and I have no real interest in Music history, she made is interesting. Add to the fact that she's went to Julliard. Just don't be late, don't miss too many classes, pay attention and you'll pass with an A. One final paper where you have to go to a recital or opera. Not to hard.",1
The best professor Ive ever taken at UTSA. Make sure to go to class and write down notes because she does not post them on BB. She takes attendance randomly but the topics you go over in class are interesting so it makes you not want to miss class. She makes it a thing to know the students name and I think thats great. Gives you a review for exam,1
He is very intelligent and helpful. He made the complicated topics easier through his teaching efficiency. Such a best and great professor.,1
The class structure is all over the place so be prepared to be confused. All the work is done on your own so you have to make sure you doing it. She does do pop quizzes and she is strict about work. You have to put a lot into your work to get a 100. ,0
"Super great professor, there is no way one can fail this class unless they are just not doing the coursework or keeping up with due dates. Open note tests and all. Extra credit every test too. ",1
"Great teacher, very knowledgeable and gives great lectures. Extremely helpful and always available if I had questions. Would definitely take again. Truly cares about each student and wants them to learn as much as possible, answers all questions and really wants her students to learn. I was bummed I couldn't take her for next English class.",1
One of the few caring professors at UCR. He's an extremely nice professor who really wants his students to pass. I suggest y'all pay a lot of attention on the stories read because all your essays depend on them.,1
This is my first time taking a class with her. I think she needs to make the class easier. She expects students to read too much material for a level 300 course. She teaches this course like a 500 level or higher.,0
"He does make you keep your camera on, but it's a communications class. Duh! One of the best teachers I've ever come across. To quote his favorite, David, he's simply the best!",1
"The professor is amazing! The course consists of various homework assignments, two projects, and quizzes spread throughout the semester which are all pretty easy in my opinion. The grading is fair and the class is interesting. Attendance is not mandatory. ",1
Very intense homework schedule in terms of both reading and writing. She's knowledgeable but be prepared to work or you will not survive.,0
"Professor Du genuinely cares about her students, she will provide everything you need to succeed. She can sometimes be quick to explain things, but she is tremendously helpful when you ask questions. She grades generously and will give opportunities to earn a point or two back on every exam.",1
He's such a great professor! Super nice guy! The content is also really interesting. Definitely worth taking!,1
Dr C cares that you learn the material. His lectures are fairly short and to the point. He is very clear on what he expects from the class and he will answer any question you have. He usually gives feedback on why he graded the way he did. He is an all-around good professor.,1
"I really enjoyed this class. I was dreading it since it's a Gen ed but prof. Kadic quickly made it one of the most engaging classes I've been in so far. I feel like I learn something new every Tuesday and Thursday. I did struggle a bit with writing papers in the beginning, but all it took was having a conversation with her and that helped so much.",1
Amazing professor who gives interesting lectures and has you thinking about the topic at hand. She's very kind and provides good feedback and makes you want to learn more and doesn't feel like a writing intensive class.,1
"There are weekly problem sets that can take a lot of time to complete, but Dr. Agazzi is good about having office hours and helping. He was also very generous with his grading. Before class, he puts all of his notes online, which can be helpful for following along in lecture, but his handwriting can be difficult to read.",1
"Although this class is difficult at times, Myers really made the class interesting and achievable. The project that we work on throughout the semester has a lot of parts but he gives good feedback and will extend due dates if you need more time. He tells you to buy the book but its not necessary since we've learned the material in past classes.",1
"Very good guy, tests can be tricky, but not too bad. Very nice guy though and very helpful.",1
"tough grader, and unfair!",0
"I loved Professor Griffith's Men's Health class! He's super fun and engaging and the content itself is really eye-opening especially with today's increased focus on just women's health. He does have pop quizzes, but as long as you read the assigned readings they are totally doable. If you pay attention and follow the rubrics, you'll get an A!!",1
"such an amazing prof. i cant stress enough how lovely she is! she cares about her students and the class. She does not require many assignments & if the weather is bad out, she either cancels or doesn't take attendance! so understanding. she is truly an amazing person and prof! Show up, participate, hand in your few assignments and you'll pass!",1
"One group presentation but you pick your partner and topic, two 1500 word papers, and occasional reading but chapters aren't long. TAKE HER CLASS! She teaches using skits from movies and comedy shows. I would take her ever semester if I could. Ended the class with a 126% Easy A",1
"Awful teacher. Once u enter class you see a bunch of people leaving within the first 10 minutes due to how badly she teaches. She has a thick accent along with a monotone voice it's borderline impossible to listen. I tried looking at her homework solutions and couldn't even understand her writing. All and all, avoid this teacher at all costs. ",0
"He was such a great teacher and always makes sure to post his power-points online. He also emails in advance if he misses. Very lenient and nice, will pass if you do homework.",1
"She was the best English Professor I have taken so far. I hate English, but she made the class easy and more enjoyable.",1
"The only assignments the whole class were the four tests, but he tells you exactly what you need to know for the test. Only reason I didn't say it was easy is because finance is a hard class. Definitely have to study but he tells you what to pay attention to. He also provided very practical and real-life examples that were helpful and useful.",1
"I wouldnt take this class again because... well I only did it for credit, but shes a great professor! I like her a lot, and the class work is not hard. During the end you have to do a critique on plays and watch other plays, but trust me, its not that bad. She actually makes learning fun too.",1
Professor Baggett is amazing. Her lab materials are so detailed and incredibly informative. She gives awesome feedback to your labs and does her best to deliver the material in a way you can understand. The University of Alabama is lucky to have her.,1
The most disorganized professor I've ever had. Cancels class all the time because of his schedule conflicts and lectures get so off-topic. He is also really bad at returning grades and feedback even though you're only graded by a few assignments. He's a nice guy and knows his stuff but class can feel boring and he has high expectations for papers.,0
"50% of your grade is determined by your weekly group discussions, where it's easy to get an A. Although there is a lot of weekly readings (40 pages +) that you have to annotate, it is a very easy and interesting class to take.  The final was almost like a personal reflective response. Would take again for sure!!",1
"Do NOT take this class. It is easy in the beginning, but it gets harder down the road. You will be tested on things that were not talked about or in the study guide due to him using a generic one from an associate. He says things, and then takes them back so do not trust his word.",0
"For CHS 211, Dr. Murray was a great instructor who made class enjoyable to attend. The only things to be weary about when taking this class is to stay super consistent with the work load because Murray will not give late work any second thought no matter what, so always try to stay way ahead of deadlines to avoid any issues with online submissions",1
"I attended this class last year and then again this year with a different instructor. After 4 weeks I switched to the lectures of Dr C. Kuss. This is a hard class, but Dr Kuss explains so well. He is very smart and helpful. I give him full marks, because I passed this class because of him. Lots of assignments, quizzes, etc, but marking is clear.",1
"Alex did a good job at perfecting my essays to a more college level. She did have us buy a textbook and ran a couple of lectures that seemed to go off our units' topic at times, but she was great with preparing us for our four different genres of writing. She's encouraging, kind to her students, and shows a clear passion for English.",1
"Dr. Reschke is great. I postponed this class until my last semester because all the reviews about ""so much reading"" scared me off. The reading is literally not bad at all & his entire class is very straightforward. He does not try to trick you. If you just do the reading, you will be set for class, quizzes, and exams. He's a very kind professor.",1
"Great class, tough field projects. Came away learning a ton.",1
Awful its a 200 level art class and yet she expects you to memorize and know all the terminology and is a picky grader for exams. Attendance is super important and if you miss a couple of days she will drop your grade significantly. Paper heavy just don't take ,0
Professor Saqib was great in 198. There is a lot of work in the course but he makes it go smoothly. Show up to class because if you miss you will fall behind.,1
"She is very nice and can be very generous. She is very understanding and kind, only strict when it comes to exams. You need the textbook for class.",1
"I learned a lot about music and found the lectures interesting and fun. Honestly wish that the other students in class participated in answering Priests questions more. Priest is a tough grader on essays and there are quite a few you have to write, so be prepared for that. The quiz/exams are easy though. ",1
"Klein was a great professor that really understood and was enthusiastic about the material. He teaches EGR101 and EGR103 but I only took the first class with him. The class has one lecture a week and a lot of homework, but thats a requirement and doesnt grade too hard despite the loads of busy work. He is always available outside of class too.",1
"Great professor, you can tell he cares about the course he teaches. The course is fast paced, but in an informative way. He always posts the notes too. The quizzes are short and are reasonable though no re-takes. Never be afraid to ask questions! One guy in my class always asked questions and the professor always responded concisely and thoroughly.",1
"Speaks very softly. Unclear explanations. Does equations alone in tiny writing in silence for long stretches of time, then asks if everyone understood after it's all over the board. Little structure to the lesson plan. Take this if you've already taken this in your home country and just need the credit.",0
"Slightly boring class content but very easy A (around 25% worth of extra credit). I don't understand people complaining about the course exams - even if you get a 0 in all exams (cumulatively 20%, 5% of which is takehome), you can get over 100%. ",1
"There are a lot of pop quizzes, so even though attendance isn't mandatory you need to go to class. All the homework problems are from the stuff covered in class, and so are quizzes and exams.",1
He is the best teacher I've ever had! Amazing teacher!!!,1
"He is a very good instructor with a lot to learn. He is clearly passionate about teaching and that passion shows through his lectures. There were weekly homeworks that could be done in groups. 1 of 3 midterms is dropped and a homework too. He's not a very accommodating instructor, but those aspects make up for it. A solid instructor overall",1
Doesn't follow the syllabus ,0
"Great prof, challenging tests. You'll have to know your stuff if you want to do well!",1
"Lawrence Amadi and Gong Chen are not good TA. They just give feedback according to the standard answer. They don't give any help for the assignment. The questions sometimes are dependent, if you got one wrong, then the TA will deduce too many points, stupid TA ! What I expected is if your answer is reasonable, you can still get partial credits.",1
"The class is 100 points total, and Tang is a really tough grader. She does not give clear instructions about projects or assignments. Her exams are difficult and her ""study guide"" is no more than a list of topics we learned about over the semester. She refuses to answer direct questions, and when someone would confront her she'd talk in circles.",0
"The most compassionate accommodating non-adversarial teacher I've ever had. Knows the material, no proprietary online hw, book is the same for I and II and can be found pdf, formula sheet given, lectures are also streamed live and recorded, well-organized course, class is very ADHD friendly. Stay communicative and he is happy to help you pass.",1
"Her lectures are amazing! She makes the most difficult concepts easier to comprehend. Make sure you keep up with the readings before attending the lecture, practice lots of problems from the book and you will do just fine. Professor Eskandari is very friendly during office hours and she is constantly open to feedback on how to improve her class.",1
"Very kind, grades well, very passionate about his subject.",1
"SHE IS REALLY GREAT I LOVE GOING TO THIS CLASS. FEEL LIKE I AM LEARNING A LOT AND QUESTIONING A LOT. A VERY ENGAGED DISCUSSION CLASS. MIDTERM AND FINAL AND TWO QUIZZES TWO ESSAYS. ONE ESSAY IS A PROCESS, A SUBWAY OBSERVATION TAKEN IN STEPS. SUBMIT ""DRAFTS"" BEFORE THE FINAL PRODUCT. SUPER INTERESTING CLASS AND GREAT TEACHER. WOULD DEFINITELY TAKE.",1
"Great professor! shes very caring and kind and takes time to meet with everyone one on one to review their work. Obviously a lot of writing its a writing course, but she grades very fairly. If you come to the classes and submit the work you will get an A.",1
"Good at teaching + engaging - you actually leave class learning something. 
However, BE AWARE: he is wishy-washy when it comes to exams. He will tell you an exam is a certain date, and then randomly switch it to an earlier date with very little notice. He's done this several times and it really messed with studying and planning. ",1
"I really loved Dr. Bowen Zhang. She truly cares about her students and the success of her students. She is always willing to meet when you have questions, and she is extremely helpful on material that you don't understand. This class was very enjoyable however you will need to participate, study, and work hard to get the grade you truly want.",1
"Although its considered a weed out class, professor spillman works hard for her students to be successful. Her career is in PR so she also told us how things are done in the real world. I learned so much in this class that I know Ill use in the future. Take her if you have to take this class!",1
"Disregarded syllabus for grading practice assignments, argued with a student when presented with clear wording in the syllabus. Did not give any useful feedback, only ""This is incorrect"" so I have no idea what I did wrong. Graded SO late I submitted at least next 1 or 2 assignments so carried those mistakes forward. DO. NOT. TAKE.",0
I took this course 100% online. The recorded lectures were very helpful! Lots of memorizing. Quizzes are lockdown browser and do not allow backtracking. This was a great difficulty for me and caused the most stress. Labs were interesting and well explained.,1
"Stickler over minor mistakes but otherwise constructive in critique. Some prior art knowledge will help, especially with Gouache. You are given prompts/themes for pieces, but will have to be creative. Your work will be seen by/peer reviewed by classmates. Total costs for supplies around 60-90$. Wants you to succeed and is easy to contact.",1
"Quickwrites every class (easy), presentation (easy, just email her for feedback and she will tell you what to change), 2 quizzes (easy), proposal for final essay, and final essay (extremely difficult). Cummings can be super vague and disorganized. No electronics allowed and you have to print out $30 worth of papers. ALWAYS ask for feedback ON ALL",0
" nonchalant, not caring at all, and very competitive. all she did was encourage us to attend tutoring, which I spent 90% of my time and be prepared to print out all lectures. She told us we don't get a gift for coming to class. if you struggle with math, or may need extra credit/help do not take her. You can need 2 or 3 points she will not HELP!",0
